title,paper_file,video_file,subtitle_file,video_url,data_imported
Career Mentoring in Online Communities: Seeking and Receiving Advice from an Online Community,,./video/0.mp4,./__subtitles/0.srt,https://www.youtube.com/watch?v=bP_XQz5v9Cc,N
A Mulching Proposal: Analysing and Improving an Algorithmic System for Turning the Elderly into ...,,./video/1.mp4,./__subtitles/1.srt,https://www.youtube.com/watch?v=11e_rpdf-Ck,N
Speed-Accuracy Tradeoff: A Formal Information-Theoretic Transmission Scheme (FITTS),,./video/2.mp4,./__subtitles/2.srt,https://www.youtube.com/watch?v=3sC5a08I070,N
From Being There to Watching: Shared and Dedicated Telepresence Robot Usage at Academic Conferences,,./video/3.mp4,./__subtitles/3.srt,https://www.youtube.com/watch?v=wgXZHEgsK1E,N
Clench Interface: Novel Biting Input Techniques,,./video/4.mp4,./__subtitles/4.srt,https://www.youtube.com/watch?v=a0b2IOBasTA,N
Digital Behaviour Change Interventions to Break and Form Habits,,./video/5.mp4,./__subtitles/5.srt,https://www.youtube.com/watch?v=83_ahNFFt1M,N
Crowdsourcing Multi-label Audio Annotation Tasks with Citizen Scientists,,./video/6.mp4,./__subtitles/6.srt,https://www.youtube.com/watch?v=BWgIWe03vkg,N
"Autonomous Distributed Energy Systems: Problematising the Invisible through Design, Drama and ...",,./video/7.mp4,./__subtitles/7.srt,https://www.youtube.com/watch?v=9wjeUhhDRHw,N
"Imaginary Studies: A Science Fiction Autoethnography Concerning the Design, Implementation and ...",,./video/8.mp4,./__subtitles/8.srt,https://www.youtube.com/watch?v=0Ee-bqtcBJM,N
"Measuring the Separability of Shape, Size, and Color in Scatterplots",,./video/9.mp4,./__subtitles/9.srt,https://www.youtube.com/watch?v=oFRiEZO_5Dk,N
"What Happens After Disclosing Stigmatized Experiences on Identified Social Media: Individual, ...",,./video/10.mp4,./__subtitles/10.srt,https://www.youtube.com/watch?v=irB1wrlp_4o,N
The Continued Prevalence of Dichotomous Inferences at CHI,,./video/11.mp4,./__subtitles/11.srt,https://www.youtube.com/watch?v=QT-H4tYKwSw,N
An Exploration of Bitcoin Mining Practices: Miners' Trust Challenges and Motivations,,./video/12.mp4,./__subtitles/12.srt,https://www.youtube.com/watch?v=In6-k1pQ-Pw,N
VoiceAssist: Guiding Users to High-Quality Voice Recordings,,./video/13.mp4,./__subtitles/13.srt,https://www.youtube.com/watch?v=-hbgnySmrkw,N
Pulp Friction: Exploring the Finger Pad Periphery for Subtle Haptic Feedback,,./video/14.mp4,./__subtitles/14.srt,https://www.youtube.com/watch?v=6URV20QiWik,N
Magnetips: Combining Fingertip Tracking and Haptic Feedback for Around-Device Interaction,,./video/15.mp4,./__subtitles/15.srt,https://www.youtube.com/watch?v=eI34NHo5WFc,N
