,title,paper_file,video_file,subtitle_file,video_url,data_imported
0,"Disseminating Research News in HCI: Perceived Hazards, How-To's, and Opportunities for Innovation",,./video/0.mp4,./__subtitles/0.srt,https://www.youtube.com/watch?v=Ntp3nSUglY0,N
1,On-Face Olfactory Interfaces,,./video/1.mp4,./__subtitles/1.srt,https://www.youtube.com/watch?v=kx5gh5rw39k,N
2,Introducing the Gamer Information-Control Framework: Enabling Access to Digital Games for People ...,,./video/2.mp4,./__subtitles/2.srt,https://www.youtube.com/watch?v=OgDhrKVb7bs,N
3,"Embodied Axes: Tangible, Actuated Interaction for 3D Augmented Reality Data Spaces",,./video/3.mp4,./__subtitles/3.srt,https://www.youtube.com/watch?v=eNCXfhlnW4Y,N
4,Understanding Privacy-Related Questions on Stack Overflow,,./video/4.mp4,./__subtitles/4.srt,https://www.youtube.com/watch?v=l6zXGQGb9ZI,N
5,Haptic-go-round: A Surrounding Platform for Encounter-type Haptics in Virtual Reality Experiences,,./video/5.mp4,./__subtitles/5.srt,https://www.youtube.com/watch?v=u9fnBJT0XlU,N
6,Drone Chi: Somaesthetic Human-Drone Interaction,,./video/6.mp4,./__subtitles/6.srt,https://www.youtube.com/watch?v=ukXf9_ZCNZw,N
7,Dynamics of Aimed Mid-air Movements,,./video/7.mp4,./__subtitles/7.srt,https://www.youtube.com/watch?v=3BpWezJkylg,N
8,Vibrotactile Funneling Illusion and Localization Performance on the Head,,./video/8.mp4,./__subtitles/8.srt,https://www.youtube.com/watch?v=aI6vhgvU0RI,N
9,Design Investigation of Embroidered Interactive Elements on Non-Wearable Textile Interfaces,,./video/9.mp4,./__subtitles/9.srt,https://www.youtube.com/watch?v=R0QvNhWcxX8,N
10,Modeling Organizational Culture with Workplace Experiences Shared on Glassdoor,,./video/10.mp4,./__subtitles/10.srt,https://www.youtube.com/watch?v=P72L7ovx4Sc,N
11,Pedestrian Detection with Wearable Cameras for the Blind: A Two-way Perspective,,./video/11.mp4,./__subtitles/11.srt,https://www.youtube.com/watch?v=0p-kDHmOnTA,N
12,"Understanding Fitness Tracker Users' Security and Privacy Knowledge, Attitudes and Behaviours",,./video/12.mp4,./__subtitles/12.srt,https://www.youtube.com/watch?v=8A-vVeFfHC8,N
13,ThreadSense: Locating Touch on an Extremely Thin Interactive Thread,,./video/13.mp4,./__subtitles/13.srt,https://www.youtube.com/watch?v=u7QxYUMJN_U,N
14,Understanding the Heisenberg Effect of Spatial Interaction: A Selection Induced Error for ...,,./video/14.mp4,./__subtitles/14.srt,https://www.youtube.com/watch?v=Su-od91nx_Y,N
15,Smart Home Beyond the Home: A Case for Community-Based Access Control,,./video/15.mp4,./__subtitles/15.srt,https://www.youtube.com/watch?v=q27QnQ3nGZc,N
16,A Skin-Stroke Display on the Eye-Ring Through Head-Mounted Displays,,./video/16.mp4,./__subtitles/16.srt,https://www.youtube.com/watch?v=xJyrzgNEeiY,N
17,Watch+Strap: Extending Smartwatches with Interactive StrapDisplays,,./video/17.mp4,./__subtitles/17.srt,https://www.youtube.com/watch?v=dHrHe502mqs,N
18,Why Johnny Can't Unsubscribe: Barriers to Stopping Unwanted Email,,./video/18.mp4,./__subtitles/18.srt,https://www.youtube.com/watch?v=IeP_H62QCFo,N
19,Rapid Iron-On User Interfaces: Hands-on Fabrication of Interactive Textile Prototypes,,./video/19.mp4,./__subtitles/19.srt,https://www.youtube.com/watch?v=z7mu6vEBVkk,N
20,Choice-Point: Fostering Awareness and Choice with Perpetrators in Domestic Violence Interventions,,./video/20.mp4,./__subtitles/20.srt,https://www.youtube.com/watch?v=4SKHOu7LZ9s,N
21,Embroidered Resistive Pressure Sensors: A Novel Approach for Textile Interfaces,,./video/21.mp4,./__subtitles/21.srt,https://www.youtube.com/watch?v=ByR_TMYiWgA,N
22,PneuModule: Using Inflatable Pin Arrays for Reconfigurable Physical Controls on ...,,./video/22.mp4,./__subtitles/22.srt,https://www.youtube.com/watch?v=qZtBl4YCNqU,N
23,A View on the Viewer: Gaze-Adaptive Captions for Videos,,./video/23.mp4,./__subtitles/23.srt,https://www.youtube.com/watch?v=fAkuQVjfYUU,N
24,"Callisto: Capturing the ""Why"" by Connecting Conversations with Computational Narratives",,./video/24.mp4,./__subtitles/24.srt,https://www.youtube.com/watch?v=bOKEzBGlXJI,N
25,Tempura: Query Analysis with Structural Templates,,./video/25.mp4,./__subtitles/25.srt,https://www.youtube.com/watch?v=S4HMIwkO8h4,N
26,Transparency of CHI Research Artifacts: Results of a Self-Reported Survey,,./video/26.mp4,./__subtitles/26.srt,https://www.youtube.com/watch?v=q4ms9Ea19WI,N
27,Levitation Simulator: Prototyping Ultrasonic Levitation Interfaces in Virtual Reality,,./video/27.mp4,./__subtitles/27.srt,https://www.youtube.com/watch?v=X3DuA88IFcs,N
28,GoTree: A Grammar of Tree Visualizations,,./video/28.mp4,./__subtitles/28.srt,https://www.youtube.com/watch?v=L9A-V6OZM0Q,N
29,2Across: A Comparison of Audio-Tactile and Screen-Reader based Representations of a Crossword Puzzle,,./video/29.mp4,./__subtitles/29.srt,https://www.youtube.com/watch?v=bsfUaVh5UUQ,N
