,title,paper_file,video_file,subtitle_file,video_url,data_imported,paper_link
0,Human Perceptions on Moral Responsibility of AI: A Case Study in AI-Assisted Bail Decision-Making,3411764.3445260.pdf,0.mp4,0.srt,https://www.youtube.com/watch?v=YeUy7gaFm48,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445260
1,Engineering Multifunctional Spacer Fabrics Through Machine Knitting,3411764.3445564.pdf,1.mp4,1.srt,https://www.youtube.com/watch?v=J1Yg2L5mydo,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445564
2,Design and Analysis of Intelligent Text Entry Systems with Function Structure Models and ...,3411764.3445566.pdf,2.mp4,2.srt,https://www.youtube.com/watch?v=Ra-leaCUwKU,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445566
3,"Nuanced Perspectives Toward Disability Simulations from Digital Designers, Blind, Low Vision, ...",3411764.3445620.pdf,3.mp4,3.srt,https://www.youtube.com/watch?v=rSqdz4xU_s4,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445620
4,From FOMO to JOMO: Examining the Fear and Joy of Missing Out and Presence in a 360° Video ...,3411764.3445183.pdf,4.mp4,4.srt,https://www.youtube.com/watch?v=8q8MdWbvSQk,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445183
5,Combining Touchscreens with Passive Rich-ID Building Blocks to Support Context Construction in ...,3411764.3445722.pdf,5.mp4,5.srt,https://www.youtube.com/watch?v=V5b_9ssT38o,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445722
6,Drone in Love: Emotional Perception of Facial Expressions on Flying Robots,3411764.3445495.pdf,6.mp4,6.srt,https://www.youtube.com/watch?v=ZmdKzEh07Q8,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445495
7,Bedtime Window: A Field Study Connecting Bedrooms of Long-Distance Couples Using a Slow ...,3411764.3445121.pdf,7.mp4,7.srt,https://www.youtube.com/watch?v=tTbQGPz4asY,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445121
8,Effect of Information Presentation on Fairness Perceptions of Machine Learning Predictors,3411764.3445365.pdf,8.mp4,8.srt,https://www.youtube.com/watch?v=zYfbe4StZ6w,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445365
9,Latte: Use-Case and Assistive-Service Driven Automated Accessibility Testing Framework for Android,3411764.3445455.pdf,9.mp4,9.srt,https://www.youtube.com/watch?v=Z84jeO0UZFE,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445455
10,Virtual Camera Layout Generation using a Reference Video,3411764.3445437.pdf,10.mp4,10.srt,https://www.youtube.com/watch?v=r-fda3BJkH0,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445437
11,Illustrating the Gaps and Needs in the Training Support of Community Health Workers in India,3411764.3445111.pdf,11.mp4,11.srt,https://www.youtube.com/watch?v=12iZBdJRBuA,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445111
12,We Can Send a Man To The Moon But We Can't Control the Temperature In Our office'; A ...,3411764.3445127.pdf,12.mp4,12.srt,https://www.youtube.com/watch?v=scCs91xD8h8,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445127
13,A Design Space Exploration of Worlds in Miniature,3411764.3445098.pdf,13.mp4,13.srt,https://www.youtube.com/watch?v=bTdS8YCVVxI,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445098
14,Acceptability of Speech and Silent Speech Input Methods in Private and Public,3411764.3445430.pdf,14.mp4,14.srt,https://www.youtube.com/watch?v=e0SlpfRTwIM,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445430
15,Adapting User Interfaces with Model-based Reinforcement Learning,3411764.3445497.pdf,15.mp4,15.srt,https://www.youtube.com/watch?v=CyI3SnBNk3s,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445497
16,Does Clickbait Actually Attract More Clicks? Three Clickbait studies you must read,3411764.3445753.pdf,16.mp4,16.srt,https://www.youtube.com/watch?v=EhjBUfmBjj8,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445753
17,Towards Fairness in Practice: A Practitioner-Oriented Rubric for Evaluating Fair ML Toolkits,3411764.3445604.pdf,17.mp4,17.srt,https://www.youtube.com/watch?v=VkWflNn8jOg,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445604
18,Understanding the Role of Technology to Support Breastfeeding,3411764.3445247.pdf,18.mp4,18.srt,https://www.youtube.com/watch?v=4-DcPxyngUs,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445247
19,Designing Ground Truth and the Social Life of Labels,3411764.3445402.pdf,19.mp4,19.srt,https://www.youtube.com/watch?v=VCekWh19TTU,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445402
20,"The Annoying, the Disturbing, and the Weird: Challenges with Phone Numbers as Identifiers and ...",3411764.3445085.pdf,20.mp4,20.srt,https://www.youtube.com/watch?v=SuYs7CBK6HI,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445085
21,`Unmochon': A Tool to Combat Online Sexual Harassment over Facebook Messenger,3411764.3445154.pdf,21.mp4,21.srt,https://www.youtube.com/watch?v=2clF-gQnYp0,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445154
22,Digital Design Marginalization: New Perspectives on Designing Inclusive Interfaces,3411764.3445180.pdf,22.mp4,22.srt,https://www.youtube.com/watch?v=OUKFSWVhYxQ,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445180
23,AI as Social Glue: Uncovering the Roles of Deep Generative AI during Social Music Composition,3411764.3445219.pdf,23.mp4,23.srt,https://www.youtube.com/watch?v=JRl2XRltlLY,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445219
24,VisiFit: Structuring Iterative Improvement for Novice Designers,3411764.3445089.pdf,24.mp4,24.srt,https://www.youtube.com/watch?v=5GJwkGhb6DI,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445089
25,Quantitative Data Visualisation on Virtual Globes,3411764.3445152.pdf,25.mp4,25.srt,https://www.youtube.com/watch?v=YChLrxlL8ss,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445152
26,Gesture Knitter: A Hand Gesture Design Tool for Head-Mounted Mixed Reality Applications,3411764.3445766.pdf,26.mp4,26.srt,https://www.youtube.com/watch?v=jF-GAvYUR7Y,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445766
27,"TapNet: The Design, Training, Implementation, and Applications of a Multi-Task Learning CNN for ...",3411764.3445626.pdf,27.mp4,27.srt,https://www.youtube.com/watch?v=s1jduCY5Cvc,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445626
28,Investigating the Accessibility of Crowdwork Tasks on Mechanical Turk,3411764.3445291.pdf,28.mp4,28.srt,https://www.youtube.com/watch?v=F1bUcqQ67Lo,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445291
29,TexYZ: Embroidering Enameled Wires for Three Degree-of-Freedom Mutual Capacitive Sensing,3411764.3445479.pdf,29.mp4,29.srt,https://www.youtube.com/watch?v=auhm2XZkskM,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445479
30,Understanding Tilt in Esports: A Study of Young League of Legends Players,3411764.3445143.pdf,30.mp4,30.srt,https://www.youtube.com/watch?v=xIF9IJdvDbI,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445143
31,Virtual Reality Esports - Understanding Competitive Players' Perceptions of Location Based VR ...,3411764.3445073.pdf,31.mp4,31.srt,https://www.youtube.com/watch?v=UKDSTQ3EMp4,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445073
32,Stereo-Smell via Electrical Trigeminal Stimulation,3411764.3445300.pdf,32.mp4,32.srt,https://www.youtube.com/watch?v=mVeOtmvZbiI,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445300
33,Ungrounded Vari-Dimensional Tactile Fingertip Feedback for Virtual Object Interaction,3411764.3445369.pdf,33.mp4,33.srt,https://www.youtube.com/watch?v=LLbqQQEGzKQ,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445369
34,Optimal Action-based or User Prediction-based Haptic Guidance: Can You Do Even Better?,3411764.3445115.pdf,34.mp4,34.srt,https://www.youtube.com/watch?v=Sl6XT9mhIvY,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445115
35,Examining Mobility Among People Living with HIV in Rural Areas,3411764.3445086.pdf,35.mp4,35.srt,https://www.youtube.com/watch?v=zv3g-nOYKm4,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445086
36,From Detectables to Inspectables: Understanding Qualitative Analysis of Audiovisual Data,3411764.3445458.pdf,36.mp4,36.srt,https://www.youtube.com/watch?v=QM8SmArEOBM,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445458
37,"Trade-offs for Substituting a Human with an Agent in a Pair Programming Context: The Good, the ...",3411764.3445659.pdf,37.mp4,37.srt,https://www.youtube.com/watch?v=fel1sjI2pqM,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445659
38,"Designers Characterize Naturalness in Voice User Interfaces: Their Goals, Practices, and Challenges",3411764.3445579.pdf,38.mp4,38.srt,https://www.youtube.com/watch?v=bzwkep-XpiI,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445579
39,Impact of Task on Attentional Tunneling in Handheld Augmented Reality,3411764.3445580.pdf,39.mp4,39.srt,https://www.youtube.com/watch?v=SurgIJUxxjs,N,https://dl.acm.org/doi/pdf/10.1145/3411764.3445580
